participant_id,condition,sync_mode,trial_id,heading_norm,outcome,warning_type,alarm_video_s,alarm_video_mmss,reaction_video_s,reaction_video_mmss,rt_s,rt_ms,reaction_type,notes,qc_mismatch,alarm_sim_s
P12,Baseline,absolute,t4,0.0604,collision,vha,350.54,,350.696,,0.156,155.5,run,,False,12.0779
P12,Baseline,absolute,t2,0.01557,collision,vha,479.373,,479.528,,0.155,155.2,run,,False,8.2607
P12,Baseline,absolute,t3,0.06103,collision,vha,582.539,,582.721,,0.182,181.8,run,,False,6.6083
P12,Baseline,absolute,t1,0.00611,collision,vha,641.884,,642.056,,0.172,171.7,run,,False,10.71
P12,Baseline,absolute,t5,0.06243,collision,vha,689.673,,689.825,,0.152,151.9,run,,False,11.5343
P13,Adaptive,absolute,t1,0.01281,collision,vha,59.776,,60.998,,1.221,1221.2,run,,False,21.3657
P13,Adaptive,absolute,t4,0.06355,collision,vha,160.908,,161.201,,0.293,292.7,run,,False,7.0041
P13,Adaptive,absolute,t2,0.04085,collision,f,233.802,,236.103,,2.301,2300.7,run,,False,8.8087
P13,Adaptive,absolute,t3,0.03948,collision,vha,279.961,,280.322,,0.361,360.7,run_back,,False,7.8566
P13,Adaptive,absolute,t5,0.02956,collision,vha,404.731,,404.891,,0.159,159.4,run,,False,9.6294
P13,Baseline,absolute,t2,0.11132,collision,vha,37.616,,39.29,,1.674,1673.7,stop,,False,8.6474
P13,Baseline,absolute,t1,0.09372,collision,vha,116.409,,117.535,,1.126,1126.2,stop,,False,8.8477
P13,Baseline,absolute,t5,0.12422,collision,vha,194.608,,195.044,,0.437,436.5,stop,,False,13.7026
P13,Baseline,absolute,t4,0.09398,collision,vha,342.907,,344.908,,2.001,2000.9,stop,,False,10.4593
P13,Baseline,absolute,t3,0.13488,collision,vha,372.23,,374.727,,2.497,2497.1,run,,False,9.2605
P14,Adaptive,absolute,t1,,collision,f,23.388,,25.38,,1.991,1991.3,gaze_side,,False,4.533
P14,Adaptive,absolute,t3,,collision,f,63.815,,66.201,,2.385,2385.4,gaze_side,,False,4.961
P14,Adaptive,absolute,t4,,collision,f,170.864,,172.722,,1.858,1857.7,gaze_side,,False,4.9405
P14,Adaptive,absolute,t5,0.00721,collision,f,239.764,,239.923,,0.159,159.1,run_back,,False,5.545
P14,Adaptive,absolute,t2,,collision,f,350.664,,352.081,,1.416,1416.4,gaze_side,,False,5.2138
P14,Baseline,absolute,t4,0.0615,collision,vha,118.488,,118.646,,0.157,157.4,run,,False,27.5993
P14,Baseline,absolute,t5,0.04966,collision,vha,246.449,,250.323,,3.874,3874.1,run_back,,False,9.5147
P14,Baseline,absolute,t3,0.01636,collision,vha,294.267,,294.448,,0.181,181.3,run,,False,8.6629
P14,Baseline,absolute,t1,0.05305,collision,vha,401.999,,402.196,,0.197,196.9,run,,False,7.3271
P14,Baseline,absolute,t2,0.05697,collision,vha,507.578,,507.744,,0.166,166.4,run,,False,7.037
P15,Adaptive,absolute,t2,,collision,vha,112.581,,,,,,,annotated_reaction_not_automatable,True,28.2396
P15,Adaptive,absolute,t5,,collision,vha,338.83,,,,,,,annotated_reaction_not_automatable,True,5.9876
P15,Adaptive,absolute,t4,,collision,f,386.083,,,,,,,annotated_reaction_not_automatable,True,4.0021
P15,Adaptive,absolute,t1,,collision,f,438.312,,,,,,,annotated_reaction_not_automatable,True,3.6123
P15,Adaptive,absolute,t3,,collision,f,508.02,,,,,,,annotated_reaction_not_automatable,True,3.9481
P15,Baseline,absolute,t1,0.04672,collision,vha,61.731,,63.82,,2.089,2088.8,gaze_side,,False,5.5818
P15,Baseline,absolute,t3,0.04629,collision,vha,148.194,,150.636,,2.441,2441.3,stop,,False,5.4703
P15,Baseline,absolute,t4,0.04135,collision,vha,219.91,,220.421,,0.511,511.4,run,,False,5.9365
P15,Baseline,absolute,t2,0.04702,collision,vha,316.688,,319.601,,2.913,2913.1,run,,False,5.7832
P15,Baseline,absolute,t5,0.03465,collision,vha,366.09,,368.657,,2.567,2567.5,stop,,False,5.6327
P16,Adaptive,absolute,t5,0.06357,collision,vha,25.02,,25.369,,0.349,349.5,gaze_up,,False,10.0196
P16,Adaptive,absolute,t3,0.07992,collision,vha,159.055,,159.581,,0.527,526.9,stop,,False,7.2996
P16,Adaptive,absolute,t4,0.05111,collision,vha,262.056,,262.658,,0.602,601.8,stop,,False,8.4474
P16,Adaptive,absolute,t2,0.04768,collision,vha,302.207,,302.361,,0.154,153.9,gaze_up,,False,8.4163
P16,Adaptive,absolute,t1,0.08511,collision,vha,388.928,,389.203,,0.274,274.5,run,,False,10.7279
P16,Baseline,absolute,t2,0.06251,collision,vha,106.793,,107.231,,0.438,438.3,gaze_up,,False,30.9139
P16,Baseline,absolute,t1,0.08031,collision,vha,162.884,,163.063,,0.18,179.6,run,,False,21.4545
P16,Baseline,absolute,t4,0.05517,collision,vha,241.131,,241.295,,0.165,164.7,run,,False,7.7387
P16,Baseline,absolute,t3,0.06086,collision,vha,381.795,,381.959,,0.164,164.3,gaze_up,,False,9.317
P16,Baseline,absolute,t5,0.07367,collision,vha,416.441,,416.592,,0.151,150.8,gaze_up,,False,9.1264
P17,Adaptive,absolute,t5,0.00495,collision,vha_fallback,40.358,,40.511,,0.153,153.2,run,found_on_retry_vha_fallback,False,10.2895
P17,Adaptive,absolute,t1,,collision,f,212.228,,215.058,,2.83,2829.5,gaze_side,,False,3.6383
P17,Adaptive,absolute,t3,,collision,f,296.808,,298.38,,1.571,1571.5,gaze_side,,False,6.5669
P17,Adaptive,absolute,t2,,collision,f,382.153,,384.103,,1.95,1950.3,gaze_side,,False,5.1711
P17,Adaptive,absolute,t4,0.00254,collision,vha_fallback,443.998,,444.152,,0.154,154.0,run,found_on_retry_vha_fallback,False,4.6836
P17,Baseline,absolute,t3,0.04589,collision,vha,16.962,,17.116,,0.153,153.1,run,,False,7.5917
P17,Baseline,absolute,t4,0.0797,collision,vha,326.003,,326.163,,0.16,159.7,run,,False,7.459
P17,Baseline,absolute,t1,0.0634,collision,vha,361.917,,362.096,,0.179,178.7,run,,False,7.994
P17,Baseline,absolute,t5,0.11557,collision,vha,408.789,,410.573,,1.783,1783.5,gaze_side,,False,7.895
P17,Baseline,absolute,t2,0.05774,collision,vha,499.452,,499.787,,0.335,335.0,run,,False,7.2849
P18,Adaptive,absolute,t3,0.0061,collision,f,14.434,,14.601,,0.167,166.8,run,,False,3.3168
P18,Adaptive,absolute,t4,0.04081,collision,f,44.179,,44.336,,0.157,156.8,run,,False,2.8174
P18,Adaptive,absolute,t2,0.0114,collision,f,78.52,,78.671,,0.151,151.1,run,,False,3.3984
P18,Adaptive,absolute,t5,0.0,collision,f,178.646,,178.81,,0.165,164.5,run,,False,3.5426
P18,Adaptive,absolute,t1,0.03929,collision,f,282.996,,283.15,,0.154,153.9,run,,False,3.7299
P18,Baseline,absolute,t1,0.13117,collision,vha,86.097,,86.304,,0.207,206.6,stop,,False,12.3335
P18,Baseline,absolute,t3,0.08917,collision,vha,145.551,,145.906,,0.355,354.7,stop,,False,6.2661
P18,Baseline,absolute,t2,0.1109,collision,vha,174.434,,175.107,,0.674,673.5,stop,,False,6.0046
P18,Baseline,absolute,t5,0.11677,collision,vha,228.679,,230.31,,1.631,1630.9,stop,,False,7.1259
P18,Baseline,absolute,t4,0.11987,collision,vha,302.632,,302.946,,0.314,313.7,stop,,False,5.8487
P19,Adaptive,absolute,t1,,collision,f,405.113,,405.53,,0.417,417.1,gaze_side,,False,17.1679
P19,Adaptive,absolute,t4,0.20356,collision,vha,460.867,,461.213,,0.345,345.4,run,,False,17.8878
P19,Adaptive,absolute,t2,0.01966,collision,vha,568.352,,568.531,,0.179,179.2,stop,,False,15.7634
P19,Adaptive,absolute,t5,0.09339,collision,vha,600.652,,600.804,,0.152,152.0,run,,False,13.5259
P19,Adaptive,absolute,t3,0.06121,collision,vha,653.781,,654.714,,0.933,932.7,run,,False,26.1052
P19,Baseline,absolute,t2,0.06175,collision,vha,48.553,,48.827,,0.274,274.0,gaze_up,,False,26.987
P19,Baseline,absolute,t3,0.05751,collision,vha,177.916,,178.51,,0.595,594.6,run,,False,13.4854
P19,Baseline,absolute,t4,0.04103,collision,vha,226.356,,226.638,,0.282,281.5,run,,False,13.0004
P19,Baseline,absolute,t1,0.04958,collision,vha,315.653,,315.86,,0.207,206.5,run,,False,12.8679
P19,Baseline,absolute,t5,0.0514,collision,vha,414.741,,414.914,,0.172,172.2,gaze_up,,False,12.2434
P20,Adaptive,absolute,t3,0.08605,collision,vha,193.232,,194.366,,1.134,1134.4,gaze_side,,False,12.582
P20,Adaptive,absolute,t2,0.01282,collision,vha,316.899,,317.508,,0.608,608.1,run,,False,11.566
P20,Adaptive,absolute,t4,0.15704,collision,vha,359.677,,359.835,,0.158,157.8,gaze_up,,False,11.6749
P20,Adaptive,absolute,t5,0.1245,collision,vha,742.887,,744.492,,1.605,1605.2,gaze_side,,False,12.8682
P20,Adaptive,absolute,t1,0.06614,collision,vha,875.642,,876.653,,1.012,1011.5,gaze_side,,False,16.6105
P20,Baseline,absolute,t3,0.06774,collision,vha,77.535,,78.43,,0.895,894.6,run,,False,20.8797
P20,Baseline,absolute,t4,0.01604,collision,vha,289.983,,290.246,,0.263,263.4,run,,False,7.3884
P20,Baseline,absolute,t2,0.07686,collision,vha,438.003,,440.161,,2.158,2158.3,gaze_side,,False,8.6034
P20,Baseline,absolute,t5,0.04248,collision,vha,575.549,,577.789,,2.24,2239.9,gaze_side,,False,10.7191
P20,Baseline,absolute,t1,0.04209,collision,vha,649.866,,650.075,,0.209,209.1,run,,False,10.1529
P21,Adaptive,absolute,t1,0.03146,collision,f,113.891,,116.058,,2.167,2167.1,stop,,False,21.3007
P21,Adaptive,absolute,t2,0.1218,collision,vha,176.471,,177.653,,1.182,1182.3,stop,,False,7.57
P21,Adaptive,absolute,t3,0.01556,collision,f,291.456,,291.611,,0.155,154.9,run_back,,False,5.5672
P21,Adaptive,absolute,t5,0.08109,collision,f,321.585,,321.742,,0.157,156.8,run_back,,False,6.0371
P21,Adaptive,absolute,t4,0.02212,collision,f,417.519,,418.334,,0.815,815.1,run,,False,5.1042
P21,Baseline,absolute,t5,0.04063,collision,vha,19.898,,20.431,,0.533,533.0,run,,False,7.4322
P21,Baseline,absolute,t3,0.08351,collision,vha,134.171,,135.684,,1.513,1513.0,stop,,False,7.3162
P21,Baseline,absolute,t1,0.04176,collision,vha,160.546,,162.514,,1.968,1967.9,stop,,False,6.7711
P21,Baseline,absolute,t2,0.13866,collision,vha,184.826,,186.511,,1.685,1684.6,stop,,False,6.6785
P21,Baseline,absolute,t4,0.04464,collision,vha,254.447,,254.603,,0.156,155.7,run,,False,6.0122
P22,Adaptive,absolute,t1,0.0088,collision,f,13.173,,13.336,,0.163,163.4,run,,False,2.943
P22,Adaptive,absolute,t5,0.08198,collision,vha,113.748,,114.26,,0.512,512.1,gaze_up,,False,5.6562
P22,Adaptive,absolute,t4,0.09354,collision,vha,153.221,,153.703,,0.482,482.1,stop,,False,5.2583
P22,Adaptive,absolute,t2,0.09081,collision,vha,232.459,,232.622,,0.163,162.8,stop,,False,5.5377
P22,Adaptive,absolute,t3,0.08376,collision,vha,291.725,,292.569,,0.844,843.8,stop,,False,5.9539
P22,Baseline,absolute,t5,0.10826,collision,vha,71.686,,71.848,,0.162,162.4,stop,,False,11.1438
P22,Baseline,absolute,t3,0.10729,collision,vha,139.861,,140.996,,1.135,1134.5,stop,,False,5.7095
P22,Baseline,absolute,t1,0.10061,collision,vha,221.291,,222.479,,1.188,1187.9,stop,,False,5.6719
P22,Baseline,absolute,t2,0.13799,collision,vha,281.886,,283.425,,1.539,1538.6,stop,,False,5.2905
P22,Baseline,absolute,t4,0.11724,collision,vha,322.69,,323.133,,0.442,442.3,stop,,False,5.6287
P23,Adaptive,absolute,t1,0.13841,collision,vha,51.216,,51.441,,0.225,224.8,stop,,False,17.628
P23,Adaptive,absolute,t4,0.1048,collision,vha,225.321,,225.497,,0.176,175.7,gaze_up,,False,5.945
P23,Adaptive,absolute,t3,0.13386,collision,vha,297.242,,297.541,,0.299,299.1,stop,,False,5.7569
P23,Adaptive,absolute,t5,0.14001,collision,vha,341.911,,346.239,,4.328,4327.8,gaze_up,,False,5.9612
P23,Adaptive,absolute,t2,0.11549,collision,vha,377.646,,377.813,,0.166,166.2,stop,,False,5.9254
P23,Baseline,absolute,t1,0.03608,collision,vha,39.581,,39.754,,0.173,173.0,run,,False,6.4986
P23,Baseline,absolute,t3,0.08178,collision,vha,67.298,,67.469,,0.172,171.5,gaze_up,,False,5.7851
P23,Baseline,absolute,t2,0.15165,collision,vha,93.161,,93.45,,0.289,288.8,stop,,False,5.9716
P23,Baseline,absolute,t5,0.1067,collision,vha,138.66,,139.407,,0.747,747.1,stop,,False,5.728
P23,Baseline,absolute,t4,0.11523,collision,vha,247.482,,248.165,,0.683,683.1,stop,,False,5.792
P24,Adaptive,absolute,t1,0.08593,collision,vha,32.104,,33.646,,1.543,1542.9,gaze_side,,False,11.2607
P24,Adaptive,absolute,t5,0.07567,collision,f,110.71,,112.677,,1.968,1967.7,stop,,False,8.6811
P24,Adaptive,absolute,t4,0.11745,collision,f,147.542,,149.392,,1.85,1850.0,stop,,False,7.6339
P24,Adaptive,absolute,t3,0.07218,collision,f,184.002,,184.172,,0.17,169.9,run,,False,8.9063
P24,Adaptive,absolute,t2,0.09326,collision,f,334.576,,334.731,,0.155,154.6,run,,False,7.1205
P24,Baseline,absolute,t2,0.05728,collision,vha,64.508,,65.653,,1.146,1145.7,stop,,False,47.5704
P24,Baseline,absolute,t1,0.07647,collision,vha,213.13,,214.29,,1.16,1160.0,gaze_side,,False,14.2779
P24,Baseline,absolute,t4,0.113,collision,vha,291.743,,291.974,,0.232,231.9,gaze_side,,False,12.0052
