participant_id,condition,sync_mode,trial_id,heading_norm,outcome,warning_type,alarm_video_s,alarm_video_mmss,reaction_video_s,reaction_video_mmss,rt_s,rt_ms,reaction_type,notes,qc_mismatch,alarm_sim_s,ttc_at_actual_response,ttc_lookup_status,Walker_speed,Walking_style
P11,Baseline,direct,t4,0.00944,collision,vha,132.0,,132.85,,0.85,850.4,run,,False,8.5608,1.995,ok,normal,constant
P11,Baseline,direct,t2,0.05982,collision,vha,402.0,,402.151,,0.151,150.6,run,,False,8.7525,2.442,ok,normal,constant
P11,Baseline,direct,t1,0.06119,collision,vha,498.0,,499.005,,1.005,1005.4,run,,False,9.4102,1.95,ok,normal,constant
P11,Baseline,direct,t5,0.11093,collision,vha,536.0,,536.168,,0.168,167.5,gaze_up,,False,8.8592,2.433,ok,normal,constant
P11,Baseline,direct,t3,0.08794,collision,vha,572.0,,572.196,,0.196,196.4,run,,False,8.4938,2.373,ok,normal,constant
P12,Adaptive,absolute,t1,0.10698,collision,vha,20.768,,20.923,,0.155,155.3,run,,False,9.5122,2.4,ok,fast,constant
P12,Adaptive,absolute,t5,0.09556,collision,vha,114.789,,114.942,,0.154,153.5,run,,False,13.8201,2.4,ok,fast,constant
P12,Adaptive,absolute,t2,0.08627,collision,vha,225.986,,226.375,,0.389,389.2,run,,False,11.9889,2.167,ok,fast,constant
P12,Adaptive,absolute,t4,0.0414,collision,vha,376.596,,376.746,,0.15,150.2,run,,False,7.8032,2.34,ok,fast,constant
P12,Adaptive,absolute,t3,0.05356,collision,vha,444.355,,444.528,,0.174,173.6,run,,False,9.2624,2.324,ok,fast,constant
P12,Baseline,absolute,t4,0.0604,collision,vha,350.54,,350.696,,0.156,155.5,run,,False,12.0779,2.356,ok,fast,constant
P12,Baseline,absolute,t2,0.01557,collision,vha,479.373,,479.528,,0.155,155.2,run,,False,8.2607,2.383,ok,fast,constant
P12,Baseline,absolute,t3,0.06103,collision,vha,582.539,,582.721,,0.182,181.8,run,,False,6.6083,2.324,ok,fast,constant
P12,Baseline,absolute,t1,0.00611,collision,vha,641.884,,642.056,,0.172,171.7,run,,False,10.71,2.367,ok,fast,constant
P12,Baseline,absolute,t5,0.06243,collision,vha,689.673,,689.825,,0.152,151.9,run,,False,11.5343,2.4,ok,fast,constant
P13,Adaptive,absolute,t1,0.01281,collision,vha,59.776,,60.998,,1.221,1221.2,run,,False,21.3657,1.615,ok,slow,constant
P13,Adaptive,absolute,t4,0.06355,collision,vha,160.908,,161.201,,0.293,292.7,run,,False,7.0041,2.258,ok,slow,constant
P13,Adaptive,absolute,t2,0.04085,collision,f,233.802,,236.103,,2.301,2300.7,run,,False,8.8087,3.557,ok,slow,constant
P13,Adaptive,absolute,t3,0.03948,collision,vha,279.961,,280.322,,0.361,360.7,run_back,,False,7.8566,2.209,ok,slow,constant
P13,Adaptive,absolute,t5,0.02956,collision,vha,404.731,,404.891,,0.159,159.4,run,,False,9.6294,2.414,ok,slow,constant
P13,Baseline,absolute,t2,0.11132,collision,vha,37.616,,39.29,,1.674,1673.7,stop,,False,8.6474,1.621,ok,slow,constant
P13,Baseline,absolute,t1,0.09372,collision,vha,116.409,,117.535,,1.126,1126.2,stop,,False,8.8477,1.917,ok,slow,constant
P13,Baseline,absolute,t5,0.12422,collision,vha,194.608,,195.044,,0.437,436.5,stop,,False,13.7026,2.273,ok,slow,constant
P13,Baseline,absolute,t4,0.09398,collision,vha,342.907,,344.908,,2.001,2000.9,stop,,False,10.4593,1.278,ok,slow,constant
P13,Baseline,absolute,t3,0.13488,collision,vha,372.23,,374.727,,2.497,2497.1,run,,False,9.2605,1.046,ok,slow,constant
P14,Adaptive,absolute,t1,,collision,f,23.388,,25.38,,1.991,1991.3,gaze_side,,False,4.533,3.717,ok,normal,constant
P14,Adaptive,absolute,t3,,collision,f,63.815,,66.201,,2.385,2385.4,gaze_side,,False,4.961,6.437,ok,normal,constant
P14,Adaptive,absolute,t4,,collision,f,170.864,,172.722,,1.858,1857.7,gaze_side,,False,4.9405,3.686,ok,normal,constant
P14,Adaptive,absolute,t5,0.00721,collision,f,239.764,,239.923,,0.159,159.1,run_back,,False,5.545,4.9,ok,normal,constant
P14,Adaptive,absolute,t2,,collision,f,350.664,,352.081,,1.416,1416.4,gaze_side,,False,5.2138,3.967,ok,normal,constant
P14,Baseline,absolute,t4,0.0615,collision,vha,118.488,,118.646,,0.157,157.4,run,,False,27.5993,2.34,ok,normal,constant
P14,Baseline,absolute,t5,0.04966,collision,vha,246.449,,250.323,,3.874,3874.1,run_back,,False,9.5147,,no_frame_within_0.5s (closest=0.84s away),normal,constant
P14,Baseline,absolute,t3,0.01636,collision,vha,294.267,,294.448,,0.181,181.3,run,,False,8.6629,2.34,ok,normal,constant
P14,Baseline,absolute,t1,0.05305,collision,vha,401.999,,402.196,,0.197,196.9,run,,False,7.3271,2.383,ok,normal,constant
P14,Baseline,absolute,t2,0.05697,collision,vha,507.578,,507.744,,0.166,166.4,run,,False,7.037,2.4,ok,normal,constant
P15,Adaptive,absolute,t2,,collision,vha,112.581,,,,,,,annotated_reaction_not_automatable,True,28.2396,,no_rt,normal,dynamic
P15,Adaptive,absolute,t5,,collision,vha,338.83,,,,,,,annotated_reaction_not_automatable,True,5.9876,,no_rt,normal,dynamic
P15,Adaptive,absolute,t4,,collision,f,386.083,,,,,,,annotated_reaction_not_automatable,True,4.0021,,no_rt,normal,dynamic
P15,Adaptive,absolute,t1,,collision,f,438.312,,,,,,,annotated_reaction_not_automatable,True,3.6123,,no_rt,normal,dynamic
P15,Adaptive,absolute,t3,,collision,f,508.02,,,,,,,annotated_reaction_not_automatable,True,3.9481,,no_rt,normal,dynamic
P15,Baseline,absolute,t1,0.04672,collision,vha,61.731,,63.82,,2.089,2088.8,gaze_side,,False,5.5818,0.536,ok,normal,dynamic
P15,Baseline,absolute,t3,0.04629,collision,vha,148.194,,150.636,,2.441,2441.3,stop,,False,5.4703,0.263,ok,normal,dynamic
P15,Baseline,absolute,t4,0.04135,collision,vha,219.91,,220.421,,0.511,511.4,run,,False,5.9365,2.012,ok,normal,dynamic
P15,Baseline,absolute,t2,0.04702,collision,vha,316.688,,319.601,,2.913,2913.1,run,,False,5.7832,0.0,ok,normal,dynamic
P15,Baseline,absolute,t5,0.03465,collision,vha,366.09,,368.657,,2.567,2567.5,stop,,False,5.6327,0.103,ok,normal,dynamic
P16,Adaptive,absolute,t5,0.06357,collision,vha,25.02,,25.369,,0.349,349.5,gaze_up,,False,10.0196,2.25,ok,normal,constant
P16,Adaptive,absolute,t3,0.07992,collision,vha,159.055,,159.581,,0.527,526.9,stop,,False,7.2996,2.061,ok,normal,constant
P16,Adaptive,absolute,t4,0.05111,collision,vha,262.056,,262.658,,0.602,601.8,stop,,False,8.4474,2.012,ok,normal,constant
P16,Adaptive,absolute,t2,0.04768,collision,vha,302.207,,302.361,,0.154,153.9,gaze_up,,False,8.4163,2.4,ok,normal,constant
P16,Adaptive,absolute,t1,0.08511,collision,vha,388.928,,389.203,,0.274,274.5,run,,False,10.7279,2.317,ok,normal,constant
P16,Baseline,absolute,t2,0.06251,collision,vha,106.793,,107.231,,0.438,438.3,gaze_up,,False,30.9139,2.117,ok,normal,constant
P16,Baseline,absolute,t1,0.08031,collision,vha,162.884,,163.063,,0.18,179.6,run,,False,21.4545,2.383,ok,normal,constant
